,name,album,release_date,track_number,valence,popularity,energy,,,
0,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,0.685,80,0.61,,,
1,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,0.701,80,0.733,,,
2,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,0.305,81,0.822,,,
3,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,0.206,80,0.885,,,
4,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,0.52,79,0.721,,,
5,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,0.917,79,0.808,,,
6,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,0.539,79,0.858,,,
7,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,0.363,78,0.683,,,
8,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,0.514,78,0.674,,,
9,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,0.538,78,0.691,,,
10,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,0.0567,77,0.509,,,
11,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,0.652,78,0.788,,,
12,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,13,0.258,78,0.391,,,
13,Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,14,0.385,78,0.705,,,
14,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,15,0.477,78,0.498,,,
15,New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,16,0.698,79,0.846,,,
16,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],27/10/2023,17,0.328,82,0.412,,,
17,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/2023,18,0.164,83,0.551,,,
18,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/2023,19,0.0831,83,0.501,,,
19,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/2023,20,0.323,81,0.625,,,
20,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/2023,21,0.191,84,0.656,,,
21,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,22,0.174,83,0.648,,,
22,Welcome To New York (Taylor's Version),1989 (Taylor's Version),26/10/2023,1,0.674,87,0.607,,,
23,Blank Space (Taylor's Version),1989 (Taylor's Version),26/10/2023,2,0.755,88,0.725,,,
24,Style (Taylor's Version),1989 (Taylor's Version),26/10/2023,3,0.292,89,0.824,,,
25,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),26/10/2023,4,0.192,87,0.885,,,
26,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),26/10/2023,5,0.481,86,0.72,,,
27,Shake It Off (Taylor's Version),1989 (Taylor's Version),26/10/2023,6,0.921,86,0.807,,,
28,I Wish You Would (Taylor's Version),1989 (Taylor's Version),26/10/2023,7,0.541,85,0.851,,,
29,Bad Blood (Taylor's Version),1989 (Taylor's Version),26/10/2023,8,0.364,85,0.686,,,
30,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),26/10/2023,9,0.514,85,0.672,,,
31,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),26/10/2023,10,0.547,84,0.682,,,
32,This Love (Taylor’s Version),1989 (Taylor's Version),26/10/2023,11,0.0586,83,0.511,,,
33,I Know Places (Taylor's Version),1989 (Taylor's Version),26/10/2023,12,0.68,84,0.803,,,
34,Clean (Taylor's Version),1989 (Taylor's Version),26/10/2023,13,0.239,85,0.386,,,
35,Wonderland (Taylor's Version),1989 (Taylor's Version),26/10/2023,14,0.337,84,0.708,,,
36,You Are In Love (Taylor's Version),1989 (Taylor's Version),26/10/2023,15,0.492,84,0.495,,,
37,New Romantics (Taylor's Version),1989 (Taylor's Version),26/10/2023,16,0.698,86,0.855,,,
38,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),26/10/2023,17,0.306,90,0.413,,,
39,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),26/10/2023,18,0.192,89,0.547,,,
40,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),26/10/2023,19,0.0662,90,0.512,,,
41,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),26/10/2023,20,0.344,87,0.621,,,
42,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),26/10/2023,21,0.176,91,0.658,,,
43,Mine (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,1,0.49,84,0.783,,,
44,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),7/7/2023,2,0.387,81,0.758,,,
45,Back To December (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,3,0.203,84,0.635,,,
46,Speak Now (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,4,0.639,79,0.677,,,
47,Dear John (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,5,0.133,80,0.47,,,
48,Mean (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,6,0.621,79,0.692,,,
49,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,7,0.57,79,0.781,,,
50,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,8,0.569,75,0.323,,,
51,Enchanted (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,9,0.216,88,0.532,,,
52,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,10,0.665,82,0.885,,,
53,Innocent (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,11,0.149,73,0.598,,,
54,Haunted (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,12,0.355,77,0.915,,,
55,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,13,0.16,77,0.366,,,
56,Long Live (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,14,0.0752,82,0.65,,,
57,Ours (Taylor’s Version),Speak Now (Taylor's Version),7/7/2023,15,0.348,75,0.488,,,
58,Superman (Taylor’s Version),Speak Now (Taylor's Version),7/7/2023,16,0.356,72,0.742,,,
59,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,17,0.282,78,0.855,,,
60,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,18,0.231,78,0.763,,,
61,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,19,0.819,87,0.764,,,
62,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,20,0.378,78,0.57,,,
63,Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,21,0.543,79,0.588,,,
64,Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,22,0.65,78,0.585,,,
65,Lavender Haze,Midnights (The Til Dawn Edition),26/5/2023,1,0.0751,70,0.454,,,
66,Maroon,Midnights (The Til Dawn Edition),26/5/2023,2,0.0382,70,0.397,,,
67,Anti-Hero,Midnights (The Til Dawn Edition),26/5/2023,3,0.497,70,0.649,,,
68,Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),26/5/2023,4,0.166,68,0.331,,,
69,"You're On Your Own, Kid",Midnights (The Til Dawn Edition),26/5/2023,5,0.39,70,0.386,,,
70,Midnight Rain,Midnights (The Til Dawn Edition),26/5/2023,6,0.198,70,0.372,,,
71,Question...?,Midnights (The Til Dawn Edition),26/5/2023,7,0.113,68,0.509,,,
72,Vigilante Shit,Midnights (The Til Dawn Edition),26/5/2023,8,0.157,69,0.272,,,
73,Bejeweled,Midnights (The Til Dawn Edition),26/5/2023,9,0.425,69,0.546,,,
74,Labyrinth,Midnights (The Til Dawn Edition),26/5/2023,10,0.13,67,0.308,,,
75,Karma,Midnights (The Til Dawn Edition),26/5/2023,11,0.0956,69,0.614,,,
76,Sweet Nothing,Midnights (The Til Dawn Edition),26/5/2023,12,0.391,67,0.166,,,
77,Mastermind,Midnights (The Til Dawn Edition),26/5/2023,13,0.126,68,0.345,,,
78,The Great War,Midnights (The Til Dawn Edition),26/5/2023,14,0.592,68,0.737,,,
79,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),26/5/2023,15,0.0633,66,0.22,,,
80,Paris,Midnights (The Til Dawn Edition),26/5/2023,16,0.454,67,0.498,,,
81,High Infidelity,Midnights (The Til Dawn Edition),26/5/2023,17,0.766,66,0.545,,,
82,Glitch,Midnights (The Til Dawn Edition),26/5/2023,18,0.399,65,0.451,,,
83,"Would've, Could've, Should've",Midnights (The Til Dawn Edition),26/5/2023,19,0.534,68,0.837,,,
84,Dear Reader,Midnights (The Til Dawn Edition),26/5/2023,20,0.162,66,0.386,,,
85,Hits Different,Midnights (The Til Dawn Edition),26/5/2023,21,0.239,83,0.782,,,
86,Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),26/5/2023,22,0.315,82,0.401,,,
87,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),26/5/2023,23,0.0734,75,0.616,,,
88,Lavender Haze,Midnights (3am Edition),22/10/2022,1,0.0984,72,0.444,,,
89,Maroon,Midnights (3am Edition),22/10/2022,2,0.0382,71,0.378,,,
90,Anti-Hero,Midnights (3am Edition),22/10/2022,3,0.519,72,0.634,,,
91,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),22/10/2022,4,0.154,70,0.323,,,
92,"You're On Your Own, Kid",Midnights (3am Edition),22/10/2022,5,0.376,72,0.38,,,
93,Midnight Rain,Midnights (3am Edition),22/10/2022,6,0.23,72,0.377,,,
94,Question...?,Midnights (3am Edition),22/10/2022,7,0.112,69,0.502,,,
95,Vigilante Shit,Midnights (3am Edition),22/10/2022,8,0.16,71,0.279,,,
96,Bejeweled,Midnights (3am Edition),22/10/2022,9,0.412,72,0.55,,,
97,Labyrinth,Midnights (3am Edition),22/10/2022,10,0.141,68,0.313,,,
98,Karma,Midnights (3am Edition),22/10/2022,11,0.106,76,0.622,,,
99,Sweet Nothing,Midnights (3am Edition),22/10/2022,12,0.396,69,0.161,,,
100,Mastermind,Midnights (3am Edition),22/10/2022,13,0.13,75,0.352,,,
101,The Great War,Midnights (3am Edition),22/10/2022,14,0.554,78,0.741,,,
102,Bigger Than The Whole Sky,Midnights (3am Edition),22/10/2022,15,0.068,74,0.235,,,
103,Paris,Midnights (3am Edition),22/10/2022,16,0.345,73,0.509,,,
104,High Infidelity,Midnights (3am Edition),22/10/2022,17,0.755,73,0.529,,,
105,Glitch,Midnights (3am Edition),22/10/2022,18,0.347,71,0.466,,,
106,"Would've, Could've, Should've",Midnights (3am Edition),22/10/2022,19,0.55,76,0.84,,,
107,Dear Reader,Midnights (3am Edition),22/10/2022,20,0.159,72,0.388,,,
108,Lavender Haze,Midnights,21/10/2022,1,0.0976,86,0.436,,,
109,Maroon,Midnights,21/10/2022,2,0.0374,82,0.398,,,
110,Anti-Hero,Midnights,21/10/2022,3,0.533,93,0.643,,,
111,Snow On The Beach (feat. Lana Del Rey),Midnights,21/10/2022,4,0.193,79,0.319,,,
112,"You're On Your Own, Kid",Midnights,21/10/2022,5,0.38,85,0.396,,,
113,Midnight Rain,Midnights,21/10/2022,6,0.23,85,0.363,,,
114,Question...?,Midnights,21/10/2022,7,0.106,76,0.502,,,
115,Vigilante Shit,Midnights,21/10/2022,8,0.163,82,0.277,,,
116,Bejeweled,Midnights,21/10/2022,9,0.433,84,0.559,,,
117,Labyrinth,Midnights,21/10/2022,10,0.122,76,0.306,,,
118,Karma,Midnights,21/10/2022,11,0.0969,90,0.62,,,
119,Sweet Nothing,Midnights,21/10/2022,12,0.39,77,0.156,,,
120,Mastermind,Midnights,21/10/2022,13,0.124,79,0.357,,,
121,State Of Grace (Taylor's Version),Red (Taylor's Version),12/11/2021,1,0.328,73,0.713,,,
122,Red (Taylor's Version),Red (Taylor's Version),12/11/2021,2,0.408,81,0.777,,,
123,Treacherous (Taylor's Version),Red (Taylor's Version),12/11/2021,3,0.299,73,0.593,,,
124,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),12/11/2021,4,0.767,81,0.557,,,
125,All Too Well (Taylor's Version),Red (Taylor's Version),12/11/2021,5,0.132,78,0.528,,,
126,22 (Taylor's Version),Red (Taylor's Version),12/11/2021,6,0.642,80,0.695,,,
127,I Almost Do (Taylor's Version),Red (Taylor's Version),12/11/2021,7,0.248,72,0.559,,,
128,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),12/11/2021,8,0.716,81,0.686,,,
129,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),12/11/2021,9,0.663,71,0.681,,,
130,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),12/11/2021,10,0.155,74,0.534,,,
131,Holy Ground (Taylor's Version),Red (Taylor's Version),12/11/2021,11,0.511,71,0.809,,,
132,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),12/11/2021,12,0.232,73,0.406,,,
133,The Lucky One (Taylor's Version),Red (Taylor's Version),12/11/2021,13,0.538,71,0.571,,,
134,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),12/11/2021,14,0.474,77,0.61,,,
135,Starlight (Taylor's Version),Red (Taylor's Version),12/11/2021,15,0.605,70,0.685,,,
136,Begin Again (Taylor's Version),Red (Taylor's Version),12/11/2021,16,0.267,73,0.527,,,
137,The Moment I Knew (Taylor's Version),Red (Taylor's Version),12/11/2021,17,0.208,70,0.402,,,
138,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),12/11/2021,18,0.399,74,0.632,,,
139,Girl At Home (Taylor's Version),Red (Taylor's Version),12/11/2021,19,0.612,68,0.736,,,
140,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),12/11/2021,20,0.101,68,0.131,,,
141,Ronan (Taylor's Version),Red (Taylor's Version),12/11/2021,21,0.38,65,0.279,,,
142,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/2021,22,0.255,74,0.579,,,
143,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),12/11/2021,23,0.446,78,0.377,,,
144,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/2021,24,0.746,74,0.743,,,
145,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/2021,25,0.494,75,0.791,,,
146,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),12/11/2021,26,0.473,77,0.715,,,
147,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/2021,27,0.41,70,0.552,,,
148,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),12/11/2021,28,0.443,72,0.488,,,
149,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/2021,29,0.581,77,0.733,,,
150,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/2021,30,0.205,87,0.518,,,
151,Fearless (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,1,0.43,85,0.741,,,
152,Fifteen (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,2,0.289,73,0.646,,,
153,Love Story (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,3,0.415,82,0.792,,,
154,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,4,0.797,72,0.571,,,
155,White Horse (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,5,0.366,73,0.517,,,
156,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,6,0.474,87,0.773,,,
157,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,7,0.321,69,0.626,,,
158,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,8,0.541,68,0.909,,,
159,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,9,0.241,70,0.444,,,
160,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,10,0.472,83,0.732,,,
161,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,11,0.673,74,0.821,,,
162,The Best Day (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,12,0.469,68,0.576,,,
163,Change (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,13,0.344,66,0.815,,,
164,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,14,0.624,69,0.69,,,
165,Untouchable (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,15,0.224,68,0.531,,,
166,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,16,0.271,67,0.273,,,
167,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,17,0.167,65,0.564,,,
168,Superstar (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,18,0.171,65,0.555,,,
169,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,19,0.629,70,0.873,,,
170,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),9/4/2021,20,0.328,68,0.779,,,
171,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),9/4/2021,21,0.44,66,0.494,,,
172,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),9/4/2021,22,0.714,78,0.817,,,
173,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),9/4/2021,23,0.13,68,0.373,,,
174,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),9/4/2021,24,0.508,70,0.608,,,
175,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),9/4/2021,25,0.405,70,0.473,,,
176,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),9/4/2021,26,0.527,68,0.624,,,
177,willow,evermore (deluxe version),7/1/2021,1,0.529,75,0.574,,,
178,champagne problems,evermore (deluxe version),7/1/2021,2,0.32,75,0.24,,,
179,gold rush,evermore (deluxe version),7/1/2021,3,0.353,73,0.462,,,
180,‘tis the damn season,evermore (deluxe version),7/1/2021,4,0.348,74,0.434,,,
181,tolerate it,evermore (deluxe version),7/1/2021,5,0.221,74,0.361,,,
182,"no body, no crime (feat. HAIM)",evermore (deluxe version),7/1/2021,6,0.535,73,0.613,,,
183,happiness,evermore (deluxe version),7/1/2021,7,0.211,71,0.334,,,
184,dorothea,evermore (deluxe version),7/1/2021,8,0.354,70,0.488,,,
185,coney island (feat. The National),evermore (deluxe version),7/1/2021,9,0.292,71,0.537,,,
186,ivy,evermore (deluxe version),7/1/2021,10,0.535,72,0.545,,,
187,cowboy like me,evermore (deluxe version),7/1/2021,11,0.511,71,0.517,,,
188,long story short,evermore (deluxe version),7/1/2021,12,0.573,71,0.73,,,
189,marjorie,evermore (deluxe version),7/1/2021,13,0.287,71,0.561,,,
190,closure,evermore (deluxe version),7/1/2021,14,0.92,68,0.704,,,
191,evermore (feat. Bon Iver),evermore (deluxe version),7/1/2021,15,0.32,72,0.27,,,
192,right where you left me - bonus track,evermore (deluxe version),7/1/2021,16,0.645,83,0.619,,,
193,it’s time to go - bonus track,evermore (deluxe version),7/1/2021,17,0.416,73,0.41,,,
194,willow,evermore,11/12/2020,1,0.529,83,0.574,,,
195,champagne problems,evermore,11/12/2020,2,0.32,83,0.24,,,
196,gold rush,evermore,11/12/2020,3,0.353,75,0.462,,,
197,‘tis the damn season,evermore,11/12/2020,4,0.348,76,0.434,,,
198,tolerate it,evermore,11/12/2020,5,0.221,79,0.361,,,
199,"no body, no crime (feat. HAIM)",evermore,11/12/2020,6,0.535,74,0.613,,,
200,happiness,evermore,11/12/2020,7,0.211,71,0.334,,,
201,dorothea,evermore,11/12/2020,8,0.354,70,0.488,,,
202,coney island (feat. The National),evermore,11/12/2020,9,0.292,69,0.537,,,
203,ivy,evermore,11/12/2020,10,0.535,74,0.545,,,
204,cowboy like me,evermore,11/12/2020,11,0.511,73,0.517,,,
205,long story short,evermore,11/12/2020,12,0.573,69,0.73,,,
206,marjorie,evermore,11/12/2020,13,0.287,76,0.561,,,
207,closure,evermore,11/12/2020,14,0.92,67,0.704,,,
208,evermore (feat. Bon Iver),evermore,11/12/2020,15,0.32,71,0.27,,,
209,the 1,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,1,0.163,56,0.361,,,
210,cardigan,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,2,0.534,57,0.58,,,
211,the last great american dynasty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,3,0.701,54,0.653,,,
212,exile (feat. Bon Iver),folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,4,0.16,56,0.374,,,
213,my tears ricochet,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,5,0.112,55,0.265,,,
214,mirrorball,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,6,0.347,54,0.417,,,
215,seven,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,7,0.374,53,0.494,,,
216,august,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,8,0.42,56,0.634,,,
217,this is me trying,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,9,0.408,54,0.478,,,
218,illicit affairs,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,10,0.44,54,0.304,,,
219,invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,11,0.454,54,0.459,,,
220,mad woman,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,12,0.451,51,0.7,,,
221,epiphany,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,13,0.103,50,0.254,,,
222,betty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,14,0.476,52,0.376,,,
223,peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,15,0.328,50,0.284,,,
224,hoax,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,16,0.404,50,0.178,,,
225,the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,17,0.268,51,0.258,,,
226,the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,1,0.156,60,0.25,,,
227,cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,2,0.247,62,0.234,,,
228,the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,3,0.614,58,0.618,,,
229,exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,4,0.108,60,0.305,,,
230,my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,5,0.168,62,0.172,,,
231,mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,6,0.109,60,0.386,,,
232,seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,7,0.363,58,0.449,,,
233,august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,8,0.545,61,0.663,,,
234,this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,9,0.157,62,0.332,,,
